Year,Budget Series,Ministry,Department,Activity,Units,Value
2013,Actual,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,,Value in Millions (VT),116.028538
2013,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,,Value in Millions (VT),3226.372025
2013,Actual,Ministry of Finance and Economic Management,MFEM Cabinet,,Value in Millions (VT),5.247417
2013,Actual,Ministry of Finance and Economic Management,MFEM Corporate Services,,Value in Millions (VT),29.810048
2013,Actual,Ministry of Finance and Economic Management,National Statistics Office,,Value in Millions (VT),13.803073
2013,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",,Value in Millions (VT),6.362466
2013,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,,Value in Millions (VT),154.73225
2013,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,,Value in Millions (VT),12.752734
2013,Actual,Ministry of Health,Department of Health,,Value in Millions (VT),488.719273
2013,Actual,Ministry of Health,Health Cabinet,,Value in Millions (VT),15.002098
2013,Actual,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,,Value in Millions (VT),28.012521
2013,Actual,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,,Value in Millions (VT),59.789106
2013,Actual,Ministry of Infrastructure and Public Utilities,Department of Public Works,,Value in Millions (VT),707.384152
2013,Actual,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,,Value in Millions (VT),81.842013
2013,Actual,Ministry of Internal Affairs,Civil Registry Office,,Value in Millions (VT),3.212959
2013,Actual,Ministry of Internal Affairs,Department of Immigration,,Value in Millions (VT),19.762098
2013,Actual,Ministry of Internal Affairs,Department of Labour,,Value in Millions (VT),24.187026
2013,Actual,Ministry of Internal Affairs,Department of Provincial Affairs,,Value in Millions (VT),265.891725
2013,Actual,Ministry of Internal Affairs,Electoral Office,,Value in Millions (VT),69.074869
2013,Actual,Ministry of Internal Affairs,Internal Affairs Cabinet,,Value in Millions (VT),75.641008
2013,Actual,Ministry of Internal Affairs,Police Service Commission,,Value in Millions (VT),1.01073
2013,Actual,Ministry of Internal Affairs,Vanuatu Police Force,,Value in Millions (VT),51.136853
2013,Actual,Ministry of Justice and Social Welfare,Correctional Services,,Value in Millions (VT),40.403257
2013,Actual,Ministry of Justice and Social Welfare,Customary land management Office,,Value in Millions (VT),0.391077
2013,Actual,Ministry of Justice and Social Welfare,Department of Womens Affairs,,Value in Millions (VT),14.474239
2013,Actual,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,,Value in Millions (VT),23.7634
2013,Actual,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,,Value in Millions (VT),4.271206
2013,Actual,Ministry of Justice and Social Welfare,Vanuatu Law Commission,,Value in Millions (VT),3.329274
2013,Actual,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,,Value in Millions (VT),0.873392
2013,Actual,"Ministry of Lands, Mines & Water Resources",Corporate Services,,Value in Millions (VT),60.885009
2013,Actual,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,,Value in Millions (VT),5.206211
2013,Actual,"Ministry of Lands, Mines & Water Resources",Department of Land Records,,Value in Millions (VT),3.704196
2013,Actual,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,,Value in Millions (VT),1.780895
2013,Actual,"Ministry of Lands, Mines & Water Resources",Department of Lands,,Value in Millions (VT),3.452864
2013,Actual,"Ministry of Lands, Mines & Water Resources",Valuer General,,Value in Millions (VT),1.766629
2013,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,,Value in Millions (VT),22.772295
2013,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,,Value in Millions (VT),5.971642
2013,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,,Value in Millions (VT),20.207348
2013,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",,Value in Millions (VT),4.733988
2013,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,,Value in Millions (VT),137.204421
2013,Actual,Ministry of Youth Development and Sports,Department of Youth and Sport,,Value in Millions (VT),86.203829
2013,Actual,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,,Value in Millions (VT),1.484742
2013,Actual,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,,Value in Millions (VT),7.908389
2013,Actual,Prime Ministers Ministry,Government Remuneration Tribunal (GRT),,Value in Millions (VT),0.364923
2013,Actual,Prime Ministers Ministry,Language Services Department,,Value in Millions (VT),7.286009
2013,Actual,Prime Ministers Ministry,Office of the Government Chief Information Officer (OCGIO),,Value in Millions (VT),244.359031
2013,Actual,Prime Ministers Ministry,PMO Corporate Service Unit,,Value in Millions (VT),37.206272
2013,Actual,Prime Ministers Ministry,Prime Ministers Cabinet,,Value in Millions (VT),16.410533
2013,Actual,Prime Ministers Ministry,Vanuatu Project Management Unit (VPMU),,Value in Millions (VT),7.439189
2013,Budget,Constitutional Agencies,Citizenship Office,,Value in Millions (VT),0.839003
2013,Budget,Constitutional Agencies,Judicial Services Commission,,Value in Millions (VT),0.889186
2013,Budget,Constitutional Agencies,Judiciary,,Value in Millions (VT),71.12014
2013,Budget,Constitutional Agencies,Malvatumauri Council of Chiefs,,Value in Millions (VT),22.99024
2013,Budget,Constitutional Agencies,National Audit Office,,Value in Millions (VT),9.385897
2013,Budget,Constitutional Agencies,Office of the Ombudsman,,Value in Millions (VT),11.814699
2013,Budget,Constitutional Agencies,Parliament,,Value in Millions (VT),427.543287
2013,Budget,Constitutional Agencies,President of the Republic,,Value in Millions (VT),15.765073
2013,Budget,Constitutional Agencies,Public Prosecutor,,Value in Millions (VT),13.916344
2013,Budget,Constitutional Agencies,Public Service Commission,,Value in Millions (VT),14.836027
2013,Budget,Constitutional Agencies,Public Solicitor,,Value in Millions (VT),17.703046
2013,Budget,Constitutional Agencies,State Law Office,,Value in Millions (VT),13.152713
2013,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",,Value in Millions (VT),9.265125
2013,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,,Value in Millions (VT),57.792078
2013,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,,Value in Millions (VT),37.97615
2013,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,,Value in Millions (VT),23.782634
2013,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,,Value in Millions (VT),13.883178
2013,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,,Value in Millions (VT),17.574861
2013,Budget,"Ministry of Civil Aviation, Meteorology and Postal Services",Civil Avation Cabinet,,Value in Millions (VT),4.368499
2013,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy","Climate Change Adaptation, Geohazards, Meteorology and Energy Cabinet",,Value in Millions (VT),8.290332
2013,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,,Value in Millions (VT),6.042
2013,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,,Value in Millions (VT),0.752222
2013,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,,Value in Millions (VT),6.086384
2013,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,,Value in Millions (VT),63.538849
2013,Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,Ministry of Ni-Vanuatu Business Development & Coops Cabinet,,Value in Millions (VT),8.063262
2013,Budget,Ministry of Education & Training,Director General Directorate,,Value in Millions (VT),785.181586
2013,Budget,Ministry of Education & Training,Education Commissions and Councils,,Value in Millions (VT),103.689779
2013,Budget,Ministry of Education & Training,MoE Cabinet,,Value in Millions (VT),6.97093
2013,Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,,Value in Millions (VT),128.110964
2013,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,,Value in Millions (VT),3672.954513
2013,Budget,Ministry of Finance and Economic Management,MFEM Cabinet,,Value in Millions (VT),8.62702
2013,Budget,Ministry of Finance and Economic Management,MFEM Corporate Services,,Value in Millions (VT),32.673812
2013,Budget,Ministry of Finance and Economic Management,National Statistics Office,,Value in Millions (VT),14.069221
2013,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",,Value in Millions (VT),7.275269
2013,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,,Value in Millions (VT),97.447596
2013,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,,Value in Millions (VT),6.7
2013,Budget,Ministry of Health,Department of Health,,Value in Millions (VT),595.287742
2013,Budget,Ministry of Health,Health Cabinet,,Value in Millions (VT),17.684794
2013,Budget,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,,Value in Millions (VT),33.79657
2013,Budget,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,,Value in Millions (VT),81.740801
2013,Budget,Ministry of Infrastructure and Public Utilities,Department of Public Works,,Value in Millions (VT),763.539903
2013,Budget,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,,Value in Millions (VT),82.479893
2013,Budget,Ministry of Internal Affairs,Civil Registry Office,,Value in Millions (VT),3.233448
2013,Budget,Ministry of Internal Affairs,Department of Immigration,,Value in Millions (VT),20.271296
2013,Budget,Ministry of Internal Affairs,Department of Labour,,Value in Millions (VT),19.119065
2013,Budget,Ministry of Internal Affairs,Department of Provincial Affairs,,Value in Millions (VT),261.755547
2013,Budget,Ministry of Internal Affairs,Electoral Office,,Value in Millions (VT),86.634932
2013,Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,,Value in Millions (VT),46.132893
2013,Budget,Ministry of Internal Affairs,Police Service Commission,,Value in Millions (VT),1.618232
2013,Budget,Ministry of Internal Affairs,Vanuatu Police Force,,Value in Millions (VT),96.685358
2013,Budget,Ministry of Justice and Social Welfare,Correctional Services,,Value in Millions (VT),43.13955
2013,Budget,Ministry of Justice and Social Welfare,Customary land management Office,,Value in Millions (VT),3.386883
2013,Budget,Ministry of Justice and Social Welfare,Department of Womens Affairs,,Value in Millions (VT),16.01561
2013,Budget,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,,Value in Millions (VT),19.637872
2013,Budget,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,,Value in Millions (VT),9.533581
2013,Budget,Ministry of Justice and Social Welfare,Vanuatu Law Commission,,Value in Millions (VT),4.662163
2013,Budget,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,,Value in Millions (VT),1.677778
2013,Budget,"Ministry of Lands, Mines & Water Resources",Corporate Services,,Value in Millions (VT),60.423118
2013,Budget,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,,Value in Millions (VT),5.288888
2013,Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Records,,Value in Millions (VT),3.745555
2013,Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,,Value in Millions (VT),1.504
2013,Budget,"Ministry of Lands, Mines & Water Resources",Department of Lands,,Value in Millions (VT),3.175111
2013,Budget,"Ministry of Lands, Mines & Water Resources",Valuer General,,Value in Millions (VT),2.178932
2013,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,,Value in Millions (VT),18.169455
2013,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,,Value in Millions (VT),4.898334
2013,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,,Value in Millions (VT),17.727178
