Year,Series,Ministry,Department,Value
2019,Original Budget,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,254
2019,Original Budget,Ministry of Infrastructure and Public Utilities,Department of Public Works,1145
2019,Original Budget,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,168
2019,Original Budget,Ministry of Internal Affairs,Civil Registry Office,26
2019,Original Budget,Ministry of Internal Affairs,Department of Immigration,113
2019,Original Budget,Ministry of Internal Affairs,Department of Labour,71
2019,Original Budget,Ministry of Internal Affairs,Department of Provincial Affairs,744
2019,Original Budget,Ministry of Internal Affairs,Electoral Office,122
2019,Original Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,139
2019,Original Budget,Ministry of Internal Affairs,Police Service Commission,22
2019,Original Budget,Ministry of Internal Affairs,Vanuatu Mobile Force,265
2019,Original Budget,Ministry of Internal Affairs,Vanuatu Police Force,920
2019,Original Budget,Ministry of Justice and Social Welfare,Correctional Services,264
2019,Original Budget,Ministry of Justice and Social Welfare,Customary land management Office,50
2019,Original Budget,Ministry of Justice and Social Welfare,Department of Womens Affairs,29
2019,Original Budget,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,266
2019,Original Budget,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,53
2019,Original Budget,Ministry of Justice and Social Welfare,Vanuatu Law Commission,21
2019,Original Budget,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,51
2019,Original Budget,"Ministry of Lands, Mines & Water Resources",Corporate Services,89
2019,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,157
2019,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Records,21
2019,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,31
2019,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Lands,48
2019,Original Budget,"Ministry of Lands, Mines & Water Resources",Valuer General,16
2019,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,75
2019,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,58
2019,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,97
2019,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",71
2019,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,259
2019,Original Budget,Ministry of Youth Development and Sports,Department of Youth and Sport,128
2019,Original Budget,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,62
2019,Original Budget,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,94
2019,Original Budget,Prime Ministers Ministry,Government Remuneration Tribunal,12
2019,Original Budget,Prime Ministers Ministry,Language Services Department,35
2019,Original Budget,Prime Ministers Ministry,Office of the Government Chief Information Officer,313
2019,Original Budget,Prime Ministers Ministry,Parliamentary Secretariat,21
2019,Original Budget,Prime Ministers Ministry,PMO Corporate Service Unit,124
2019,Original Budget,Prime Ministers Ministry,Prime Ministers Cabinet,112
2019,Original Budget,Prime Ministers Ministry,Vanuatu Project Management Unit,96
2020,Original Budget,Constitutional Agencies,Citizenship Office,37
2020,Original Budget,Constitutional Agencies,Judicial Services Commission,2
2020,Original Budget,Constitutional Agencies,Judiciary,309
2020,Original Budget,Constitutional Agencies,Malvatumauri Council of Chiefs,94
2020,Original Budget,Constitutional Agencies,National Audit Office,95
2020,Original Budget,Constitutional Agencies,Office of the Ombudsman,60
2020,Original Budget,Constitutional Agencies,Parliament,1301
2020,Original Budget,Constitutional Agencies,President of the Republic,62
2020,Original Budget,Constitutional Agencies,Public Prosecutor,102
2020,Original Budget,Constitutional Agencies,Public Service Commission,193
2020,Original Budget,Constitutional Agencies,Public Solicitor,73
2020,Original Budget,Constitutional Agencies,State Law Office,201
2020,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",182
2020,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,360
2020,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,224
2020,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,256
2020,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,106
2020,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,217
2020,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy","Climate Change Adaptation, Geohazards, Meteorology and Energy Cabinet",69
2020,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Department of Climate Change,32
2020,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,165
2020,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,62
2020,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",MoCC Coporate Service Unit,94
2020,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,58
2020,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,179
2020,Original Budget,Ministry of Education & Training,Director General Directorate,292
2020,Original Budget,Ministry of Education & Training,Education Commissions and Councils,110
2020,Original Budget,Ministry of Education & Training,Education Service Directorate,5639
2020,Original Budget,Ministry of Education & Training,Finance & Administration Directorate,402
2020,Original Budget,Ministry of Education & Training,MoE Cabinet,72
2020,Original Budget,Ministry of Education & Training,Policy & Planning Directorate,42
2020,Original Budget,Ministry of Education & Training,Tertiary Education Directorate,741
2020,Original Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,613
2020,Original Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,11346
2020,Original Budget,Ministry of Finance and Economic Management,MFEM Cabinet,80
2020,Original Budget,Ministry of Finance and Economic Management,MFEM Corporate Services,199
2020,Original Budget,Ministry of Finance and Economic Management,National Statistics Office,264
2020,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",63
2020,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,510
2020,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,105
2020,Original Budget,Ministry of Health,Department of Health,3218
2020,Original Budget,Ministry of Health,Health Cabinet,80
2020,Original Budget,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,153
2020,Original Budget,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,284
2020,Original Budget,Ministry of Infrastructure and Public Utilities,Department of Public Works,1125
2020,Original Budget,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,178
2020,Original Budget,Ministry of Internal Affairs,Civil Registry Office,37
2020,Original Budget,Ministry of Internal Affairs,Department of Immigration,124
2020,Original Budget,Ministry of Internal Affairs,Department of Labour,72
2020,Original Budget,Ministry of Internal Affairs,Department of Provincial Affairs,839
2020,Original Budget,Ministry of Internal Affairs,Electoral Office,152
2020,Original Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,281
2020,Original Budget,Ministry of Internal Affairs,Police Service Commission,12
2020,Original Budget,Ministry of Internal Affairs,Vanuatu Mobile Force,365
2020,Original Budget,Ministry of Internal Affairs,Vanuatu Police Force,1038
2020,Original Budget,Ministry of Justice and Social Welfare,Correctional Services,310
2020,Original Budget,Ministry of Justice and Social Welfare,Customary land management Office,61
2020,Original Budget,Ministry of Justice and Social Welfare,Department of Womens Affairs,29
2020,Original Budget,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,286
2020,Original Budget,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,63
2020,Original Budget,Ministry of Justice and Social Welfare,Vanuatu Law Commission,26
2020,Original Budget,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,60
2020,Original Budget,"Ministry of Lands, Mines & Water Resources",Corporate Services,109
2020,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,234
2020,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Records,22
2020,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,82
2020,Original Budget,"Ministry of Lands, Mines & Water Resources",Department of Lands,52
2020,Original Budget,"Ministry of Lands, Mines & Water Resources",Valuer General,15
2020,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,86
2020,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,83
2020,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,135
2020,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",72
2020,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,273
2020,Original Budget,Ministry of Youth Development and Sports,Department of Youth and Sport,147
2020,Original Budget,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,55
2020,Original Budget,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,105
2020,Original Budget,Prime Ministers Ministry,Government Remuneration Tribunal,19
2020,Original Budget,Prime Ministers Ministry,Language Services Department,42
2020,Original Budget,Prime Ministers Ministry,Office of the Government Chief Information Officer,314
2020,Original Budget,Prime Ministers Ministry,PMO Corporate Service Unit,113
2020,Original Budget,Prime Ministers Ministry,Prime Ministers Cabinet,136
2020,Original Budget,Prime Ministers Ministry,Vanuatu Project Management Unit,124
2021,Original Budget,Constitutional Agencies,Citizenship Office,38
2021,Original Budget,Constitutional Agencies,Electoral Office,109
2021,Original Budget,Constitutional Agencies,Judicial Services Commission,2
